                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3629,                 1.6364,                 1.6006,                0.36643,                  0.415,                0.33738,                0.13875,                 1.9138,                 9.0493,                 2.4092,             0.00066362,             0.00066362,             0.00066362
                      2,                 1.6651,                 1.9496,                  1.814,                0.42348,                0.41716,                0.36212,                0.15458,                  1.889,                 2.9841,                 2.0867,              0.0013171,              0.0013171,              0.0013171
                      3,                 1.5908,                 1.8708,                 1.7685,                0.51961,                0.43443,                0.43341,                0.19261,                 1.7865,                 2.4971,                 2.0932,              0.0019574,              0.0019574,              0.0019574
                      4,                  1.536,                 1.7789,                 1.7371,                0.51803,                0.47058,                0.45787,                 0.2269,                  1.583,                 2.5424,                  1.814,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4451,                 1.6792,                 1.6718,                0.58184,                 0.5378,                0.55077,                0.28191,                 1.4988,                 1.7712,                 1.7154,              0.0019406,              0.0019406,              0.0019406
                      6,                  1.411,                 1.6249,                 1.6347,                0.62314,                0.54182,                0.57484,                0.30589,                 1.5011,                 1.7999,                 1.6848,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.3587,                 1.5452,                 1.5808,                0.64116,                0.59889,                0.61538,                0.32033,                 1.4321,                 1.6968,                 1.6451,               0.001901,               0.001901,               0.001901
                      8,                 1.3236,                 1.5048,                 1.5701,                0.70595,                0.58994,                 0.6617,                0.38094,                 1.3585,                 1.5088,                 1.5908,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3095,                 1.4722,                 1.5636,                 0.7154,                0.60413,                0.66882,                 0.3952,                 1.3596,                 1.3957,                 1.5719,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.2754,                 1.4179,                 1.5348,                0.73033,                0.63675,                0.70285,                0.42041,                 1.2807,                 1.3193,                  1.508,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2487,                 1.3899,                 1.5256,                0.71491,                0.65073,                0.70971,                0.41129,                  1.339,                 1.2894,                 1.5422,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.2365,                 1.3798,                 1.5124,                0.73506,                0.63262,                0.71181,                0.43455,                 1.2588,                 1.2635,                  1.495,               0.001802,               0.001802,               0.001802
                     13,                 1.2119,                 1.3515,                 1.5003,                0.71907,                0.61154,                0.68712,                0.42362,                 1.2584,                 1.2878,                 1.4967,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2005,                 1.3073,                 1.4805,                0.75641,                 0.6592,                0.73597,                0.45255,                 1.2353,                 1.1881,                 1.4724,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.1906,                 1.2727,                 1.4774,                0.74118,                0.68158,                 0.7413,                0.47173,                 1.1885,                 1.1545,                  1.425,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.1716,                 1.2577,                 1.4593,                0.76465,                0.65875,                0.74391,                0.46087,                 1.2084,                 1.1666,                 1.4421,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.1668,                 1.2472,                 1.4508,                0.77347,                0.68583,                0.75718,                0.48464,                 1.1842,                  1.112,                 1.4277,               0.001703,               0.001703,               0.001703
                     18,                 1.1403,                 1.2232,                 1.4336,                 0.7716,                0.68273,                0.76064,                0.47749,                 1.1776,                 1.1049,                 1.4069,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.1493,                 1.1979,                 1.4419,                0.74175,                0.68239,                0.75013,                0.47195,                 1.2036,                 1.1765,                 1.4332,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.1153,                 1.1571,                 1.4165,                0.79036,                0.69762,                0.77873,                0.50029,                 1.1792,                 1.0458,                 1.4156,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.0884,                 1.1447,                 1.4049,                0.78799,                0.68713,                 0.7695,                0.49347,                 1.1482,                 1.0506,                 1.4069,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.0927,                 1.1297,                 1.3974,                0.78659,                0.69941,                0.76733,                0.49659,                 1.1301,                 1.0648,                 1.3876,               0.001604,               0.001604,               0.001604
                     23,                 1.0956,                 1.1279,                 1.4019,                 0.7825,                0.69084,                0.77451,                 0.4971,                 1.1644,                 1.0332,                 1.4013,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.0746,                 1.1043,                 1.3845,                0.80879,                0.70344,                0.78824,                0.51671,                 1.1084,                0.99852,                 1.3645,              0.0015644,              0.0015644,              0.0015644
