                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.14,                 1.6056,                 1.3221,                0.66532,                0.57421,                0.61751,                0.34743,                 1.4054,                 1.7621,                 1.5909,             0.00066362,             0.00066362,             0.00066362
                      2,                   1.37,                 1.6091,                 1.4889,                0.58884,                0.54662,                0.56109,                0.28916,                 1.5559,                  1.795,                 1.6648,              0.0013171,              0.0013171,              0.0013171
                      3,                 1.4463,                 1.6095,                 1.5487,                0.63132,                0.52391,                0.56086,                0.27425,                  1.611,                 1.6558,                 1.6954,              0.0019574,              0.0019574,              0.0019574
                      4,                  1.414,                 1.5293,                 1.5246,                0.63298,                0.48874,                0.54084,                0.28867,                 1.5939,                  1.688,                 1.6709,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3833,                 1.5142,                 1.5249,                0.62913,                0.58046,                0.59942,                0.31997,                 1.5084,                 1.5477,                  1.597,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.3526,                 1.4518,                 1.4897,                0.64108,                0.54428,                0.58658,                0.32362,                 1.4663,                  1.565,                 1.5629,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.3253,                 1.4223,                 1.4673,                0.71639,                0.60815,                0.67176,                0.38412,                 1.3689,                 1.4603,                 1.4818,               0.001901,               0.001901,               0.001901
                      8,                 1.2922,                 1.3724,                 1.4533,                0.71581,                0.56033,                0.62944,                0.35653,                 1.4433,                 1.4473,                 1.5558,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.2657,                 1.3456,                 1.4417,                0.70411,                0.59178,                0.65291,                0.35909,                  1.405,                 1.4867,                 1.5202,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.2405,                  1.303,                 1.4186,                0.76006,                  0.639,                0.72135,                 0.4439,                 1.2872,                 1.2375,                 1.4079,              0.0018416,              0.0018416,              0.0018416
                     11,                  1.231,                 1.2978,                 1.4058,                 0.7515,                0.61865,                0.70622,                0.41802,                 1.3096,                 1.2679,                 1.4261,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.2306,                 1.2806,                 1.4046,                0.73608,                0.63591,                0.70586,                0.41333,                 1.2845,                  1.258,                 1.4051,               0.001802,               0.001802,               0.001802
                     13,                 1.1915,                 1.2412,                 1.3824,                0.74159,                0.65504,                0.72351,                0.43797,                 1.2729,                 1.2819,                 1.4226,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2023,                 1.2375,                 1.3925,                0.78995,                0.64671,                0.73017,                0.44131,                 1.2986,                 1.1793,                 1.4073,              0.0017624,              0.0017624,              0.0017624
                     15,                   1.19,                 1.2105,                 1.3745,                0.75797,                0.65288,                 0.7327,                0.46406,                 1.2226,                 1.1225,                 1.3637,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.1698,                 1.1949,                 1.3627,                0.73682,                0.65391,                0.72816,                0.44787,                 1.2365,                 1.2151,                 1.3784,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.1636,                 1.1919,                 1.3642,                0.76587,                0.63684,                0.72518,                0.44115,                 1.2696,                 1.1916,                 1.3922,               0.001703,               0.001703,               0.001703
                     18,                 1.1509,                 1.1603,                 1.3475,                 0.7884,                0.68519,                0.75872,                0.47356,                 1.2092,                 1.1019,                 1.3599,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.1507,                 1.1481,                  1.348,                0.76745,                0.67816,                0.75915,                0.47482,                 1.2034,                 1.1342,                 1.3512,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.1391,                 1.1339,                 1.3354,                0.80775,                0.68838,                0.78322,                0.50409,                 1.1611,                 1.0179,                 1.3126,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.1138,                  1.094,                 1.3239,                0.81562,                0.64332,                0.74096,                 0.4691,                  1.217,                 1.1212,                  1.362,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.1213,                 1.1144,                 1.3345,                0.76607,                0.67448,                0.76012,                0.48716,                 1.1517,                 1.0653,                 1.3111,               0.001604,               0.001604,               0.001604
                     23,                 1.1068,                 1.1017,                 1.3214,                0.79576,                0.68405,                 0.7745,                0.50279,                 1.1505,                 1.0251,                 1.3074,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.0983,                 1.0747,                 1.3074,                0.79777,                0.70256,                0.78686,                0.51916,                 1.1345,                0.98493,                 1.2908,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.0809,                 1.0746,                 1.3041,                0.81794,                0.68559,                0.78123,                0.50206,                 1.1864,                0.99676,                 1.3268,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.0915,                  1.076,                 1.3028,                0.80094,                0.70141,                0.77882,                0.51174,                 1.1323,                  1.004,                 1.2911,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.0855,                 1.0585,                 1.3096,                0.79544,                0.70318,                0.77836,                 0.5126,                 1.1498,                 1.0197,                 1.2949,               0.001505,               0.001505,               0.001505
                     28,                 1.0729,                  1.051,                 1.2956,                0.79693,                0.69762,                0.78125,                 0.5088,                  1.132,                 1.0027,                 1.2894,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.0595,                 1.0403,                  1.284,                0.80604,                0.68728,                0.77792,                 0.5055,                 1.1228,                 1.0169,                 1.2961,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.0607,                 1.0304,                 1.2899,                0.79186,                0.70904,                0.78964,                 0.5212,                 1.0985,                0.97089,                 1.2605,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.0485,                 1.0157,                  1.279,                0.82081,                0.70811,                0.79622,                0.52231,                 1.1368,                 0.9515,                 1.2866,              0.0014258,              0.0014258,              0.0014258
                     32,                  1.072,                 1.0266,                 1.2871,                0.82785,                0.69793,                 0.7955,                0.53411,                 1.0999,                0.92645,                 1.2625,               0.001406,               0.001406,               0.001406
