                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6656,                 1.9617,                  1.535,                0.92406,                0.86929,                0.89642,                0.43472,                 1.7156,                 1.3958,                 1.1267,                0.00044,                0.00044,                0.00044
                      2,                 1.5344,                 1.0081,                0.99555,                0.88874,                0.86651,                0.89986,                0.48775,                 1.4998,                 1.2775,                 1.0399,             0.00089109,             0.00089109,             0.00089109
                      3,                 1.5038,                0.82745,                0.97699,                 0.9308,                0.87803,                0.91662,                0.48032,                 1.5552,                  1.629,                  1.044,              0.0013331,              0.0013331,              0.0013331
                      4,                  1.492,                0.86159,                0.99225,                 0.9333,                0.90147,                0.92673,                  0.473,                 1.5789,                 1.0255,                 1.0694,              0.0017659,              0.0017659,              0.0017659
                      5,                 1.4733,                 0.8021,                0.98793,                0.93218,                0.89008,                0.92849,                0.52644,                 1.4941,                0.81348,                 1.0405,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.4138,                0.75744,                0.98626,                0.94575,                0.89347,                0.90519,                0.46606,                 1.5712,                0.81776,                 1.0492,               0.001901,               0.001901,               0.001901
                      7,                  1.422,                0.75984,                 0.9824,                0.93907,                0.90011,                0.92336,                0.50463,                 1.5281,                0.79186,                 1.0413,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.3871,                 0.6886,                0.97934,                0.93822,                0.86969,                0.91834,                0.52101,                 1.4665,                0.76763,                 1.0055,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.3903,                0.73102,                0.95535,                0.96729,                0.84227,                0.91766,                0.52292,                 1.4341,                0.84688,                0.99546,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.3348,                0.66113,                0.96355,                0.94471,                0.87684,                0.93019,                0.52048,                 1.5022,                0.74576,                 1.0089,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.3692,                0.63541,                0.96164,                0.94815,                 0.8971,                0.94029,                0.51477,                 1.5172,                0.76534,                 1.0172,               0.001802,               0.001802,               0.001802
                     12,                 1.3435,                0.65601,                0.97201,                 0.9542,                0.90942,                0.95272,                0.51794,                 1.5077,                0.68319,                 1.0133,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3109,                0.62758,                0.93128,                0.94894,                0.93027,                0.95692,                0.53125,                 1.4678,                0.71114,                0.99738,              0.0017624,              0.0017624,              0.0017624
